external_key,lemma,pos,level,freq_rank,ru_gloss,notes
wfpt-07496,achamos,,,7590,,kaikki_no_match
wfpt-05617,achando,,,5700,,kaikki_no_match
wfpt-01026,achar,verb,,1062,думать,kaikki_pt_ru_enriched
wfpt-06408,acharam,,,6496,,kaikki_no_match
wfpt-10191,achas,,,10300,,kaikki_no_match
wfpt-03589,achava,,,3655,,kaikki_no_match
wfpt-09838,ache,,,9947,,kaikki_no_match
wfpt-00691,achei,,,721,,kaikki_no_match
wfpt-00138,acho,,,148,,kaikki_no_match
wfpt-02701,achou,,,2760,,kaikki_no_match
wfpt-10524,acidentalmente,,,10636,,kaikki_no_match
wfpt-01260,acidente,noun,,1301,авария,kaikki_pt_ru_enriched
wfpt-04366,acidentes,,,4442,,kaikki_no_match
wfpt-00664,acima,,,693,,kaikki_no_match
wfpt-10706,acionistas,,,10818,,kaikki_no_match
wfpt-11455,acomodar,verb,,11572,вмещать,kaikki_pt_ru_enriched
wfpt-05080,acompanha,,,5159,,kaikki_no_match
wfpt-06049,acompanhada,,,6134,,kaikki_no_match
wfpt-03673,acompanhado,,,3739,,kaikki_no_match
wfpt-10880,acompanham,,,10992,,kaikki_no_match
wfpt-05725,acompanhamento,noun,,5808,сопровождение,kaikki_pt_ru_enriched
wfpt-05403,acompanhando,,,5486,,kaikki_no_match
wfpt-02116,acompanhar,,,2170,,kaikki_no_match
wfpt-05618,acompanhe,,,5701,,kaikki_no_match
wfpt-06740,acompanhou,,,6829,,kaikki_no_match
wfpt-00536,acontece,,,562,,kaikki_no_match
wfpt-03238,acontecem,,,3301,,kaikki_no_match
wfpt-01193,acontecendo,,,1232,,kaikki_no_match
wfpt-00703,acontecer,,,733,,kaikki_no_match
wfpt-06879,aconteceram,,,6969,,kaikki_no_match
wfpt-11086,aconteceria,,,11200,,kaikki_no_match
wfpt-04532,acontecerá,,,4609,,kaikki_no_match
wfpt-10707,acontecesse,,,10819,,kaikki_no_match
wfpt-00438,aconteceu,,,458,,kaikki_no_match
wfpt-09182,acontecia,,,9285,,kaikki_no_match
wfpt-03530,acontecido,,,3595,,kaikki_no_match
wfpt-06640,acontecimento,,,6729,,kaikki_no_match
wfpt-03239,acontecimentos,,,3302,,kaikki_no_match
wfpt-03804,aconteça,,,3874,,kaikki_no_match
wfpt-04533,acorda,,,4610,,kaikki_no_match
wfpt-08890,acordada,,,8991,,kaikki_no_match
wfpt-04888,acordado,,,4967,,kaikki_no_match
wfpt-03055,acordar,,,3117,,kaikki_no_match
wfpt-11087,acorde,,,11201,,kaikki_no_match
wfpt-06050,acordei,,,6135,,kaikki_no_match
wfpt-00219,acordo,noun,,231,сделка,kaikki_pt_ru_enriched
wfpt-05081,acordos,,,5160,,kaikki_no_match
wfpt-06517,acordou,,,6606,,kaikki_no_match
wfpt-06741,acostumado,,,6830,,kaikki_no_match
wfpt-10525,acostumar,,,10637,,kaikki_no_match
wfpt-06051,acre,noun,,6136,акр,kaikki_pt_ru_enriched
wfpt-00966,acredita,,,1001,,kaikki_no_match
wfpt-03183,acreditam,,,3246,,kaikki_no_match
wfpt-04702,acreditamos,,,4780,,kaikki_no_match
wfpt-08039,acreditando,,,8135,,kaikki_no_match
wfpt-01165,acreditar,,,1204,,kaikki_no_match
wfpt-05296,acreditava,,,5376,,kaikki_no_match
wfpt-11456,acreditavam,,,11573,,kaikki_no_match
wfpt-04120,acredite,,,4195,,kaikki_no_match
wfpt-11259,acreditei,,,11376,,kaikki_no_match
wfpt-10006,acreditem,,,10115,,kaikki_no_match
wfpt-00596,acredito,,,624,,kaikki_no_match
wfpt-06742,acrescenta,,,6831,,kaikki_no_match
wfpt-10007,acrescentando,,,10116,,kaikki_no_match
wfpt-07758,acrescentar,,,7853,,kaikki_no_match
wfpt-05936,acrescentou,,,6021,,kaikki_no_match
wfpt-09839,act,,,9948,,kaikki_no_match
wfpt-06276,action,,,6363,,kaikki_no_match
wfpt-05188,actividade,,,5268,,kaikki_no_match
wfpt-05189,actividades,,,5269,,kaikki_no_match
wfpt-07398,acto,,,7491,,kaikki_no_match
wfpt-11661,actor,,,11782,,kaikki_no_match
wfpt-10354,actos,,,10465,,kaikki_no_match
wfpt-04289,actual,,,4365,,kaikki_no_match
wfpt-04206,actualmente,,,4282,,kaikki_no_match
wfpt-11861,acusa,,,11983,,kaikki_no_match
wfpt-10526,acusada,,,10638,,kaikki_no_match
wfpt-02861,acusado,,,2920,,kaikki_no_match
wfpt-07625,acusados,,,7720,,kaikki_no_match
wfpt-10008,acusar,verb,,10117,обвинять,kaikki_pt_ru_enriched
wfpt-03960,acusação,,,4032,,kaikki_no_match
wfpt-03531,acusações,,,3596,,kaikki_no_match
wfpt-09327,acusou,,,9431,,kaikki_no_match
wfpt-03674,acção,,,3740,,kaikki_no_match
wfpt-06743,acções,,,6832,,kaikki_no_match
wfpt-10527,acústica,noun,,10639,акустика,kaikki_pt_ru_enriched
wfpt-10708,acústico,,,10820,,kaikki_no_match
wfpt-03961,adam,,,4033,,kaikki_no_match
wfpt-10528,adams,,,10640,,kaikki_no_match
wfpt-09328,adaptado,,,9432,,kaikki_no_match
wfpt-07147,adaptar,verb,,7238,приспособить,kaikki_pt_ru_enriched
wfpt-04044,adaptação,,,4118,,kaikki_no_match
wfpt-09183,ademais,,,9286,,kaikki_no_match
wfpt-08612,adeptos,,,8710,,kaikki_no_match
wfpt-05082,adequada,,,5161,,kaikki_no_match
wfpt-10881,adequadamente,,,10993,,kaikki_no_match
wfpt-10355,adequadas,,,10466,,kaikki_no_match
wfpt-04611,adequado,,,4689,,kaikki_no_match
wfpt-08891,aderir,,,8992,,kaikki_no_match
wfpt-06277,adesão,,,6364,,kaikki_no_match
wfpt-03468,adeus,,,3532,,kaikki_no_match
wfpt-04703,adianta,,,4781,,kaikki_no_match
wfpt-03962,adiante,,,4034,,kaikki_no_match
wfpt-11088,adiciona,,,11202,,kaikki_no_match
wfpt-11457,adicionado,,,11574,,kaikki_no_match
wfpt-04794,adicionais,,,4872,,kaikki_no_match
wfpt-04704,adicional,,,4782,,kaikki_no_match
wfpt-06278,adicionar,,,6365,,kaikki_no_match
wfpt-08040,adivinha,,,8136,,kaikki_no_match
wfpt-11662,adivinhar,,,11783,,kaikki_no_match
wfpt-08468,adição,noun,,8565,сложение,kaikki_pt_ru_enriched
wfpt-10709,adjunto,,,10821,,kaikki_no_match
wfpt-05726,administrador,,,5809,,kaikki_no_match
wfpt-08892,administradores,,,8993,,kaikki_no_match
wfpt-09502,administrar,,,9608,,kaikki_no_match
wfpt-03805,administrativa,,,3875,,kaikki_no_match
wfpt-08318,administrativas,,,8414,,kaikki_no_match
wfpt-04977,administrativo,,,5056,,kaikki_no_match
wfpt-10356,administrativos,,,10467,,kaikki_no_match
wfpt-01098,administração,noun,,1135,правление,kaikki_pt_ru_enriched
wfpt-10710,admirar,verb,,10822,восхищаться,kaikki_pt_ru_enriched
wfpt-08893,admiração,,,8994,,kaikki_no_match
wfpt-08041,admiro,,,8137,,kaikki_no_match
wfpt-09840,admissão,,,9949,,kaikki_no_match
wfpt-06880,admite,,,6970,,kaikki_no_match
wfpt-04612,admitir,,,4690,,kaikki_no_match
wfpt-08042,admitiu,,,8138,,kaikki_no_match
wfpt-08894,admito,,,8995,,kaikki_no_match
wfpt-02800,adolescente,noun,,2859,подросток,kaikki_pt_ru_enriched
wfpt-02922,adolescentes,,,2983,,kaikki_no_match
wfpt-05823,adolescência,,,5907,,kaikki_no_match
wfpt-03532,adora,,,3597,,kaikki_no_match
wfpt-07759,adoram,,,7854,,kaikki_no_match
wfpt-06519,adorar,verb,,6608,обожать,kaikki_pt_ru_enriched
wfpt-10882,adoraria,,,10994,,kaikki_no_match
wfpt-09329,adorava,,,9433,,kaikki_no_match
wfpt-03240,adorei,,,3303,,kaikki_no_match
wfpt-01373,adoro,,,1418,,kaikki_no_match
wfpt-09680,adorável,,,9788,,kaikki_no_match
wfpt-08185,adotada,,,8281,,kaikki_no_match
wfpt-07399,adotado,,,7492,,kaikki_no_match
wfpt-06173,adotar,verb,,6258,принимать,kaikki_pt_ru_enriched
wfpt-08469,adotou,,,8566,,kaikki_no_match
wfpt-05404,adoção,noun,,5487,усыновле́ние,kaikki_pt_ru_enriched
wfpt-08470,adquirido,,,8567,,kaikki_no_match
wfpt-06409,adquirir,,,6497,,kaikki_no_match
wfpt-09503,adquiriu,,,9609,,kaikki_no_match
wfpt-11663,adrenalina,noun,,11784,адреналин,kaikki_pt_ru_enriched
wfpt-08471,adriana,,,8568,,kaikki_no_match
wfpt-08043,adriano,,,8139,,kaikki_no_match
wfpt-06410,adulta,,,6498,,kaikki_no_match
wfpt-03590,adulto,,,3656,,kaikki_no_match
wfpt-02450,adultos,,,2504,,kaikki_no_match
wfpt-04795,adversário,,,4873,,kaikki_no_match
wfpt-06881,adversários,,,6971,,kaikki_no_match
wfpt-07626,advocacia,,,7721,,kaikki_no_match
wfpt-05619,advogada,,,5702,,kaikki_no_match
wfpt-01334,advogado,noun,,1377,адвокат,kaikki_pt_ru_enriched
wfpt-02406,advogados,,,2460,,kaikki_no_match
wfpt-11664,adão,noun,,11785,адам,kaikki_pt_ru_enriched
wfpt-10357,aeronave,,,10468,,kaikki_no_match
wfpt-11260,aeronaves,,,11377,,kaikki_no_match
wfpt-01549,aeroporto,noun,,1597,аэропорт,kaikki_pt_ru_enriched
wfpt-06411,aeroportos,,,6499,,kaikki_no_match
wfpt-05508,afasta,,,5591,,kaikki_no_match
wfpt-06744,afastado,,,6833,,kaikki_no_match
