external_key,lemma,pos,level,freq_rank,ru_gloss,notes
wfpt-04193,sobreviver,verb,,4269,переживать,kaikki_pt_ru_pos_seed
wfpt-04201,vestir,verb,,4277,ходить,kaikki_pt_ru_pos_seed
wfpt-04215,avançar,verb,,4291,продолжать,kaikki_pt_ru_pos_seed
wfpt-04396,escutar,verb,,4472,слущать,kaikki_pt_ru_pos_seed
wfpt-04456,calar,verb,,4533,молчать,kaikki_pt_ru_pos_seed
wfpt-04572,fumar,verb,,4649,курить,kaikki_pt_ru_pos_seed
wfpt-04589,ocupar,verb,,4667,занимать,kaikki_pt_ru_pos_seed
wfpt-04698,voar,verb,,4776,лететь,kaikki_pt_ru_pos_seed
wfpt-04905,colar,verb,,4984,клей,kaikki_pt_ru_pos_seed
wfpt-04964,separar,verb,,5043,отделиться,kaikki_pt_ru_pos_seed
wfpt-05100,cozinhar,verb,,5179,готовить,kaikki_pt_ru_pos_seed
wfpt-05218,executar,verb,,5298,делать,kaikki_pt_ru_pos_seed
wfpt-05257,queimar,verb,,5337,жечь,kaikki_pt_ru_pos_seed
wfpt-05300,aproximar,verb,,5380,оценивать,kaikki_pt_ru_pos_seed
wfpt-05308,cancelar,verb,,5388,нарушать,kaikki_pt_ru_pos_seed
wfpt-05428,criticar,verb,,5511,критиковать,kaikki_pt_ru_pos_seed
wfpt-05431,curtir,verb,,5514,дубить,kaikki_pt_ru_pos_seed
wfpt-05497,sonhar,verb,,5580,мечтать,kaikki_pt_ru_pos_seed
wfpt-05510,alterar,verb,,5593,менять,kaikki_pt_ru_pos_seed
wfpt-05519,beijar,verb,,5602,целовать,kaikki_pt_ru_pos_seed
wfpt-05598,resistir,verb,,5681,отбиваться,kaikki_pt_ru_pos_seed
wfpt-05704,registrar,verb,,5787,регистрировать,kaikki_pt_ru_pos_seed
wfpt-05714,traduzir,verb,,5797,переводить,kaikki_pt_ru_pos_seed
wfpt-05794,pintar,verb,,5877,писать,kaikki_pt_ru_pos_seed
wfpt-05827,apanhar,verb,,5911,успеть,kaikki_pt_ru_pos_seed
wfpt-06027,relaxar,verb,,6112,отдыхать,kaikki_pt_ru_pos_seed
wfpt-06173,adotar,verb,,6258,принимать,kaikki_pt_ru_pos_seed
wfpt-06179,atirar,verb,,6264,стрелять,kaikki_pt_ru_pos_seed
wfpt-06201,desaparecer,verb,,6286,исчезать,kaikki_pt_ru_pos_seed
wfpt-06203,despertar,verb,,6288,будить,kaikki_pt_ru_pos_seed
wfpt-06209,expandir,verb,,6294,расширить,kaikki_pt_ru_pos_seed
wfpt-06220,instalar,verb,,6305,провести,kaikki_pt_ru_pos_seed
wfpt-06303,comparar,verb,,6390,сравнивать,kaikki_pt_ru_pos_seed
wfpt-06330,explodir,verb,,6418,взрываться,kaikki_pt_ru_pos_seed
wfpt-06439,curar,verb,,6527,лечить,kaikki_pt_ru_pos_seed
wfpt-06519,adorar,verb,,6608,обожать,kaikki_pt_ru_pos_seed
wfpt-06642,agradar,verb,,6731,нравиться,kaikki_pt_ru_pos_seed
wfpt-06726,sugerir,verb,,6815,предложить,kaikki_pt_ru_pos_seed
wfpt-07025,caçar,verb,,7115,охотиться,kaikki_pt_ru_pos_seed
wfpt-07082,interpretar,verb,,7172,интерпретировать,kaikki_pt_ru_pos_seed
wfpt-07147,adaptar,verb,,7238,приспособить,kaikki_pt_ru_pos_seed
wfpt-07328,implementar,verb,,7421,выполнять,kaikki_pt_ru_pos_seed
