external_key,lemma,pos,level,freq_rank,ru_gloss,notes
wfpt-00188,mulher,,,200,,shortlisted_from_wordfreq_seed
wfpt-00189,outras,,,201,,shortlisted_from_wordfreq_seed
wfpt-00190,enquanto,,,202,,shortlisted_from_wordfreq_seed
wfpt-00191,fez,,,203,,shortlisted_from_wordfreq_seed
wfpt-00192,ninguém,,,204,,shortlisted_from_wordfreq_seed
wfpt-00193,outra,,,205,,shortlisted_from_wordfreq_seed
wfpt-00194,momento,,,206,,shortlisted_from_wordfreq_seed
wfpt-00195,vamos,,,207,,shortlisted_from_wordfreq_seed
wfpt-00196,verdade,,,208,,shortlisted_from_wordfreq_seed
wfpt-00199,foto,,,211,,shortlisted_from_wordfreq_seed
wfpt-00200,lugar,,,212,,shortlisted_from_wordfreq_seed
wfpt-00201,nacional,,,213,,shortlisted_from_wordfreq_seed
wfpt-00202,país,,,214,,shortlisted_from_wordfreq_seed
wfpt-00203,presidente,,,215,,shortlisted_from_wordfreq_seed
wfpt-00204,quanto,,,216,,shortlisted_from_wordfreq_seed
wfpt-00205,saber,,,217,,shortlisted_from_wordfreq_seed
wfpt-00206,sido,,,218,,shortlisted_from_wordfreq_seed
wfpt-00207,volta,,,219,,shortlisted_from_wordfreq_seed
wfpt-00208,for,,,220,,shortlisted_from_wordfreq_seed
wfpt-00209,pelos,,,221,,shortlisted_from_wordfreq_seed
wfpt-00210,algo,,,222,,shortlisted_from_wordfreq_seed
wfpt-00211,conta,,,223,,shortlisted_from_wordfreq_seed
wfpt-00212,família,,,224,,shortlisted_from_wordfreq_seed
wfpt-00213,gente,,,225,,shortlisted_from_wordfreq_seed
wfpt-00214,algumas,,,226,,shortlisted_from_wordfreq_seed
wfpt-00215,fim,,,227,,shortlisted_from_wordfreq_seed
wfpt-00216,final,,,228,,shortlisted_from_wordfreq_seed
wfpt-00217,parece,,,229,,shortlisted_from_wordfreq_seed
wfpt-00218,semana,,,230,,shortlisted_from_wordfreq_seed
wfpt-00219,acordo,,,231,,shortlisted_from_wordfreq_seed
wfpt-00220,hora,,,232,,shortlisted_from_wordfreq_seed
wfpt-00221,jogo,,,233,,shortlisted_from_wordfreq_seed
wfpt-00222,num,,,234,,shortlisted_from_wordfreq_seed
wfpt-00223,pessoa,,,235,,shortlisted_from_wordfreq_seed
wfpt-00225,através,,,237,,shortlisted_from_wordfreq_seed
wfpt-00226,governo,,,238,,shortlisted_from_wordfreq_seed
wfpt-00228,pai,,,240,,shortlisted_from_wordfreq_seed
wfpt-00229,quase,,,241,,shortlisted_from_wordfreq_seed
wfpt-00230,tanto,,,242,,shortlisted_from_wordfreq_seed
wfpt-00232,dentro,,,244,,shortlisted_from_wordfreq_seed
wfpt-00233,filho,,,245,,shortlisted_from_wordfreq_seed
wfpt-00234,fora,,,246,,shortlisted_from_wordfreq_seed
wfpt-00235,homem,,,247,,shortlisted_from_wordfreq_seed
wfpt-00236,vem,,,248,,shortlisted_from_wordfreq_seed
wfpt-00237,vídeo,,,249,,shortlisted_from_wordfreq_seed
wfpt-00238,música,,,250,,shortlisted_from_wordfreq_seed
wfpt-00239,pois,,,251,,shortlisted_from_wordfreq_seed
wfpt-00240,preciso,,,252,,shortlisted_from_wordfreq_seed
wfpt-00241,vão,,,253,,shortlisted_from_wordfreq_seed
wfpt-00242,água,,,254,,shortlisted_from_wordfreq_seed
wfpt-00243,disso,,,256,,shortlisted_from_wordfreq_seed
wfpt-00244,fazendo,,,257,,shortlisted_from_wordfreq_seed
wfpt-00245,horas,,,258,,shortlisted_from_wordfreq_seed
wfpt-00246,janeiro,,,259,,shortlisted_from_wordfreq_seed
wfpt-00248,dele,,,261,,shortlisted_from_wordfreq_seed
wfpt-00249,direito,,,262,,shortlisted_from_wordfreq_seed
wfpt-00250,mil,,,263,,shortlisted_from_wordfreq_seed
wfpt-00252,numa,,,265,,shortlisted_from_wordfreq_seed
wfpt-00253,número,,,266,,shortlisted_from_wordfreq_seed
wfpt-00254,dinheiro,,,267,,shortlisted_from_wordfreq_seed
wfpt-00257,queria,,,270,,shortlisted_from_wordfreq_seed
wfpt-00258,seria,,,271,,shortlisted_from_wordfreq_seed
wfpt-00259,sistema,,,272,,shortlisted_from_wordfreq_seed
wfpt-00260,amor,,,274,,shortlisted_from_wordfreq_seed
wfpt-00261,escola,,,275,,shortlisted_from_wordfreq_seed
wfpt-00262,frente,,,276,,shortlisted_from_wordfreq_seed
wfpt-00263,mesma,,,277,,shortlisted_from_wordfreq_seed
wfpt-00265,tarde,,,279,,shortlisted_from_wordfreq_seed
wfpt-00266,local,,,280,,shortlisted_from_wordfreq_seed
wfpt-00267,morte,,,281,,shortlisted_from_wordfreq_seed
wfpt-00268,segunda,,,282,,shortlisted_from_wordfreq_seed
wfpt-00269,amigos,,,284,,shortlisted_from_wordfreq_seed
wfpt-00270,brasileiro,,,285,,shortlisted_from_wordfreq_seed
wfpt-00271,precisa,,,287,,shortlisted_from_wordfreq_seed
wfpt-00272,projeto,,,288,,shortlisted_from_wordfreq_seed
wfpt-00273,região,,,289,,shortlisted_from_wordfreq_seed
wfpt-00274,sair,,,290,,shortlisted_from_wordfreq_seed
wfpt-00275,sul,,,291,,shortlisted_from_wordfreq_seed
wfpt-00276,temos,,,292,,shortlisted_from_wordfreq_seed
wfpt-00277,teve,,,293,,shortlisted_from_wordfreq_seed
wfpt-00278,área,,,294,,shortlisted_from_wordfreq_seed
wfpt-00279,dela,,,295,,shortlisted_from_wordfreq_seed
wfpt-00281,lei,,,297,,shortlisted_from_wordfreq_seed
wfpt-00282,partir,,,298,,shortlisted_from_wordfreq_seed
wfpt-00283,problema,,,299,,shortlisted_from_wordfreq_seed
wfpt-00284,público,,,300,,shortlisted_from_wordfreq_seed
wfpt-00285,site,,,301,,shortlisted_from_wordfreq_seed
wfpt-00286,alguma,,,302,,shortlisted_from_wordfreq_seed
wfpt-00287,and,,,303,,shortlisted_from_wordfreq_seed
wfpt-00289,embora,,,305,,shortlisted_from_wordfreq_seed
wfpt-00290,guerra,,,306,,shortlisted_from_wordfreq_seed
wfpt-00291,centro,,,308,,shortlisted_from_wordfreq_seed
wfpt-00292,deixar,,,309,,shortlisted_from_wordfreq_seed
wfpt-00295,estamos,,,312,,shortlisted_from_wordfreq_seed
wfpt-00296,fica,,,313,,shortlisted_from_wordfreq_seed
wfpt-00297,filme,,,314,,shortlisted_from_wordfreq_seed
wfpt-00298,havia,,,315,,shortlisted_from_wordfreq_seed
wfpt-00299,importante,,,316,,shortlisted_from_wordfreq_seed
wfpt-00301,logo,,,318,,shortlisted_from_wordfreq_seed
wfpt-00302,mal,,,319,,shortlisted_from_wordfreq_seed
wfpt-00304,geral,,,321,,shortlisted_from_wordfreq_seed
wfpt-00306,programa,,,323,,shortlisted_from_wordfreq_seed
wfpt-00307,social,,,324,,shortlisted_from_wordfreq_seed
wfpt-00308,vários,,,325,,shortlisted_from_wordfreq_seed
wfpt-00309,certo,,,326,,shortlisted_from_wordfreq_seed
wfpt-00310,equipe,,,327,,shortlisted_from_wordfreq_seed
wfpt-00311,feito,,,328,,shortlisted_from_wordfreq_seed
wfpt-00312,neste,,,329,,shortlisted_from_wordfreq_seed
wfpt-00313,segurança,,,330,,shortlisted_from_wordfreq_seed
wfpt-00314,terra,,,331,,shortlisted_from_wordfreq_seed
wfpt-00315,estados,,,332,,shortlisted_from_wordfreq_seed
wfpt-00317,exemplo,,,334,,shortlisted_from_wordfreq_seed
wfpt-00318,falta,,,335,,shortlisted_from_wordfreq_seed
wfpt-00319,favor,,,336,,shortlisted_from_wordfreq_seed
wfpt-00320,série,,,337,,shortlisted_from_wordfreq_seed
wfpt-00321,twitter,,,338,,shortlisted_from_wordfreq_seed
wfpt-00323,causa,,,340,,shortlisted_from_wordfreq_seed
wfpt-00324,mulheres,,,341,,shortlisted_from_wordfreq_seed
wfpt-00325,uso,,,342,,shortlisted_from_wordfreq_seed
wfpt-00327,brasileira,,,344,,shortlisted_from_wordfreq_seed
wfpt-00328,crianças,,,345,,shortlisted_from_wordfreq_seed
wfpt-00329,deste,,,346,,shortlisted_from_wordfreq_seed
wfpt-00330,feira,,,347,,shortlisted_from_wordfreq_seed
wfpt-00331,fosse,,,348,,shortlisted_from_wordfreq_seed
wfpt-00333,milhões,,,350,,shortlisted_from_wordfreq_seed
wfpt-00334,população,,,351,,shortlisted_from_wordfreq_seed
wfpt-00335,posso,,,352,,shortlisted_from_wordfreq_seed
wfpt-00336,quatro,,,353,,shortlisted_from_wordfreq_seed
wfpt-00337,deu,,,354,,shortlisted_from_wordfreq_seed
wfpt-00338,ficou,,,355,,shortlisted_from_wordfreq_seed
wfpt-00340,polícia,,,357,,shortlisted_from_wordfreq_seed
wfpt-00341,processo,,,358,,shortlisted_from_wordfreq_seed
wfpt-00342,usar,,,359,,shortlisted_from_wordfreq_seed
wfpt-00343,ajuda,,,360,,shortlisted_from_wordfreq_seed
wfpt-00344,cabeça,,,361,,shortlisted_from_wordfreq_seed
wfpt-00345,cerca,,,362,,shortlisted_from_wordfreq_seed
wfpt-00346,corpo,,,363,,shortlisted_from_wordfreq_seed
wfpt-00347,desta,,,364,,shortlisted_from_wordfreq_seed
wfpt-00348,fui,,,365,,shortlisted_from_wordfreq_seed
wfpt-00349,meses,,,366,,shortlisted_from_wordfreq_seed
wfpt-00350,problemas,,,367,,shortlisted_from_wordfreq_seed
wfpt-00351,realmente,,,368,,shortlisted_from_wordfreq_seed
wfpt-00352,tenha,,,369,,shortlisted_from_wordfreq_seed
wfpt-00353,várias,,,370,,shortlisted_from_wordfreq_seed
wfpt-00354,algum,,,371,,shortlisted_from_wordfreq_seed
wfpt-00355,cinco,,,373,,shortlisted_from_wordfreq_seed
